,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
특이도,0.6666666666666666,0.5714285714285714,0.45714285714285713,0.59375,0.5263157894736842,0.5283018867924528,0.55,0.4507042253521127,0.39285714285714285,0.4782608695652174,0.40625,0.26666666666666666,0.32142857142857145,0.39285714285714285,0.2903225806451613,0.5238095238095238,0.3548387096774194,0.48484848484848486,0.5128205128205128,0.4117647058823529,0.3225806451612903,0.2631578947368421,0.2857142857142857,0.5,0.375,0.2692307692307692,0.4642857142857143,0.5454545454545454,0.75,0.7209302325581395,0.7575757575757576,0.7368421052631579,0.4741189643092201
재현율,0.35294117647058826,0.75,1.0,0.7307692307692307,0.8,0.9333333333333333,0.6875,1.0,0.6666666666666666,0.8461538461538461,0.6190476190476191,0.6153846153846154,0.6428571428571429,0.6875,0.4090909090909091,0.5789473684210527,0.5,0.7272727272727273,0.9523809523809523,0.6363636363636364,0.5,0.2777777777777778,0.1111111111111111,0.16666666666666666,0.6,0.3888888888888889,0.48148148148148145,0.3333333333333333,0.4375,0.6888888888888889,0.8333333333333334,1.0,0.6235997095529312
특이도,0.8333333333333334,0.5652173913043478,0.4375,0.6829268292682927,0.6363636363636364,0.5306122448979592,0.8181818181818182,0.4166666666666667,0.4153846153846154,0.43243243243243246,0.41935483870967744,0.3055555555555556,0.38095238095238093,0.07142857142857142,0.30434782608695654,0.34782608695652173,0.45454545454545453,0.4146341463414634,0.41304347826086957,0.4074074074074074,0.30434782608695654,0.3333333333333333,0.42857142857142855,0.38461538461538464,0.30434782608695654,0.3888888888888889,0.5714285714285714,0.4878048780487805,0.6216216216216216,0.5714285714285714,0.6176470588235294,0.75,0.4703671907191245
재현율,0.2631578947368421,0.7647058823529411,0.875,0.9333333333333333,0.9655172413793104,0.8125,0.2571428571428571,0.8064516129032258,0.8181818181818182,0.5517241379310345,0.52,0.7857142857142857,0.5333333333333333,0.05555555555555555,0.2692307692307692,0.36363636363636365,0.6,0.68,0.95,0.9166666666666666,0.6666666666666666,0.5555555555555556,0.15789473684210525,0.29411764705882354,0.4117647058823529,0.35,0.5925925925925926,0.625,0.575,0.972972972972973,0.875,0.46153846153846156,0.6018735966002458
특이도,0.6363636363636364,0.6956521739130435,0.5277777777777778,0.6944444444444444,0.6666666666666666,0.5652173913043478,0.5483870967741935,0.3880597014925373,0.4246575342465753,0.5428571428571428,0.40625,0.3333333333333333,0.3333333333333333,0.35,0.39473684210526316,0.375,0.4838709677419355,0.3617021276595745,0.3783783783783784,0.35135135135135137,0.2972972972972973,0.46153846153846156,0.5,0.25925925925925924,0.24324324324324326,0.2631578947368421,0.5161290322580645,0.6410256410256411,0.5897435897435898,0.6410256410256411,0.6896551724137931,0.7222222222222222,0.4775730423283621
재현율,0.3181818181818182,0.8,1.0,0.78125,1.0,0.8387096774193549,0.5,0.9629629629629629,0.96875,0.6333333333333333,0.5,0.6842105263157895,0.9411764705882353,0.3684210526315789,0.5769230769230769,0.7142857142857143,0.625,0.7727272727272727,0.8235294117647058,0.5,0.5,0.5714285714285714,0.13636363636363635,0.4117647058823529,0.5294117647058824,0.5,0.5517241379310345,0.7352941176470589,0.5111111111111111,0.5952380952380952,0.7142857142857143,0.9285714285714286,0.6560829562593352
특이도,0.3333333333333333,0.2857142857142857,0.2222222222222222,0.25,0.2,0.2222222222222222,0.2,0.13333333333333333,0.1,0.25,0.2857142857142857,0.0,0.0,0.0625,0.0,0.16666666666666666,0.3125,0.23076923076923078,0.25,0.3181818181818182,0.18181818181818182,0.058823529411764705,0.13333333333333333,0.26666666666666666,0.16666666666666666,0.26666666666666666,0.36363636363636365,0.2857142857142857,0.08163265306122448,0.0425531914893617,0.0,0.1111111111111111,0.18068062649165703
재현율,0.4444444444444444,0.2222222222222222,0.18181818181818182,0.4,0.2,0.4,0.2,0.2857142857142857,0.25,0.2222222222222222,0.5,0.0,0.0,0.2,0.0,0.1111111111111111,0.4166666666666667,0.5454545454545454,0.7142857142857143,0.5833333333333334,0.4,0.1111111111111111,0.2,0.4444444444444444,0.14285714285714285,0.26666666666666666,0.26666666666666666,0.4,1.0,0.6666666666666666,0.0,1.0,0.33674016955266955
특이도,0.2857142857142857,0.2857142857142857,0.4,0.4,0.25,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.2777777777777778,0.22580645161290322,0.35,0.21428571428571427,0.2,0.15384615384615385,0.23529411764705882,0.3076923076923077,0.3,0.13333333333333333,0.2413793103448276,0.3235294117647059,0.30434782608695654,0.3333333333333333,0.4375,0.09523809523809523,0.2916666666666667,0.27586206896551724,0.2,0.3142857142857143,0.25,0.24390243902439024,0.09090909090909091,0.4444444444444444,0.2853915467298197
재현율,0.2857142857142857,0.2857142857142857,0.16666666666666666,0.10526315789473684,0.05263157894736842,0.09523809523809523,0.35294117647058826,0.7272727272727273,0.7142857142857143,0.5833333333333334,0.6363636363636364,0.375,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.4,0.5,0.16666666666666666,0.875,0.7857142857142857,0.6363636363636364,0.3076923076923077,0.4666666666666667,0.2,0.5833333333333334,0.7272727272727273,0.6363636363636364,0.9166666666666666,0.375,0.6666666666666666,0.09090909090909091,0.6666666666666666,0.4503659387245881
특이도,0.0,0.14285714285714285,0.125,0.2962962962962963,0.2571428571428571,0.24242424242424243,0.24390243902439024,0.2727272727272727,0.2,0.25,0.38095238095238093,0.0,0.25,0.16666666666666666,0.05,0.06896551724137931,0.09090909090909091,0.14705882352941177,0.038461538461538464,0.17391304347826086,0.12,0.125,0.1,0.1,0.12,0.1111111111111111,0.19230769230769232,0.10526315789473684,0.13333333333333333,0.14285714285714285,0.25,0.0,0.1530359296629671
재현율,0.0,0.25,0.2,0.6666666666666666,0.8181818181818182,0.6153846153846154,0.7142857142857143,0.8571428571428571,0.6428571428571429,0.7692307692307693,0.6666666666666666,0.0,0.09090909090909091,0.1,0.08333333333333333,0.2857142857142857,0.5,0.7142857142857143,0.16666666666666666,0.5714285714285714,0.42857142857142855,0.5,0.14285714285714285,0.2857142857142857,0.5,0.3333333333333333,0.625,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.0,0.3820825875513375
특이도,0.4375,0.375,0.35294117647058826,0.37037037037037035,0.4444444444444444,0.30434782608695654,0.3170731707317073,0.20588235294117646,0.15217391304347827,0.0,0.0,0.10526315789473684,0.2857142857142857,0.25,0.09090909090909091,0.16129032258064516,0.08333333333333333,0.14285714285714285,0.18181818181818182,0.2,0.16129032258064516,0.07692307692307693,0.25,0.2,0.25806451612903225,0.4375,0.2608695652173913,0.14285714285714285,0.25,0.25,0.0,0.0,0.2108882310282321
재현율,0.7777777777777778,0.75,0.6,0.5263157894736842,0.6666666666666666,0.3888888888888889,0.7647058823529411,0.5384615384615384,0.5,0.0,0.0,0.2222222222222222,0.2222222222222222,0.08333333333333333,0.058823529411764705,0.5,0.14285714285714285,0.3333333333333333,0.75,0.5454545454545454,0.625,0.14285714285714285,0.25,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5,0.08333333333333333,0.375,0.125,0.0,0.0,0.3871537504785376
특이도,0.47058823529411764,0.3684210526315789,0.2857142857142857,0.35714285714285715,0.375,0.2777777777777778,0.5833333333333334,0.3142857142857143,0.27586206896551724,0.0,0.0,0.13333333333333333,0.0625,0.17073170731707318,0.17647058823529413,0.16666666666666666,0.3333333333333333,0.391304347826087,0.16129032258064516,0.2727272727272727,0.21052631578947367,0.14285714285714285,0.42857142857142855,0.11764705882352941,0.11538461538461539,0.2,0.09090909090909091,0.16666666666666666,0.2,0.2727272727272727,0.3333333333333333,0.0,0.2329720569446075
재현율,0.7272727272727273,0.7,0.5454545454545454,0.5,0.3,0.23809523809523808,0.35,0.6470588235294118,0.42105263157894735,0.0,0.0,0.2222222222222222,0.125,0.7777777777777778,0.16666666666666666,0.21428571428571427,0.375,0.6428571428571429,0.7142857142857143,0.5,0.36363636363636365,0.09090909090909091,0.25,0.25,0.3333333333333333,0.3,0.1111111111111111,0.1,0.08333333333333333,0.2727272727272727,0.1111111111111111,0.0,0.3260372131308665
